nct_number,study_title,phases,study_status,enrollment,start_date,primary_completion_date,sponsor,collaborators,conditions,interventions,locations,location,institution,city,country
NCT05742867,A Study to Evaluate Treatment Preferences for Japanese Participants With Muscle-invasive Urothelial Carcinoma of the Bladder,,COMPLETED,115.0,2023-05-31,2024-07-10,Bristol-Myers Squibb,Ono Pharmaceutical Co. Ltd,Urinary Bladder Neoplasms,,"Local Institution - 0001, Morrisville, North Carolina, 27560, United States","Local Institution - 0001, Morrisville, North Carolina, 27560, United States",Local Institution - 0001,Morrisville,United States
NCT05136898,Feasibility of Home Instillation of UGN-102 for Treatment of Low-Grade (LG) Non-Muscle Invasive Bladder Cancer (NMIBC),PHASE3,COMPLETED,8.0,2021-11-30,2023-02-02,UroGen Pharma Ltd.,,Bladder Cancer|Urothelial Carcinoma|Urothelial Carcinoma Bladder,DRUG: UGN-102,"Urology Centers of Alabama (UCA), Homewood, Alabama, 35209, United States|Indiana University School of Medicine, Indianapolis, Indiana, 46202, United States|Medication Management, Greensboro, North Carolina, 27408, United States|Urology Associates, P.C., Nashville, Tennessee, 37209, United States|Virginia Urology, Richmond, Virginia, 23235, United States","Urology Centers of Alabama (UCA), Homewood, Alabama, 35209, United States|Indiana University School of Medicine, Indianapolis, Indiana, 46202, United States|Medication Management, Greensboro, North Carolina, 27408, United States|Urology Associates, P.C., Nashville, Tennessee, 37209, United States|Virginia Urology, Richmond, Virginia, 23235, United States",Urology Centers of Alabama (UCA),Homewood,United States
NCT01342172,"Gemcitabine, Cisplatin, Plus Lenalidomide as First-line Therapy for Patients With Metastatic Urothelial Carcinoma",PHASE1|PHASE2,TERMINATED,9.0,2011-03,2013-06,Icahn School of Medicine at Mount Sinai,Celgene,Urinary Bladder Neoplasms,DRUG: Lenalidomide,"National Cancer Institute, Bethesda, Maryland, 20892, United States|Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, 84112, United States","National Cancer Institute, Bethesda, Maryland, 20892, United States|Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, 84112, United States",National Cancer Institute,Bethesda,United States
NCT06870253,"Evaluating Bladder CARE™, a New Non-Invasive Urine Test, for Bladder Cancer Detection in Inconclusive Cases",,RECRUITING,80.0,2025-04,2027-03,Pangea Laboratory LLC,,Bladder Cancer|Urothelial Carcinoma Bladder,,"Mayo Clinic, Rochester, Minnesota, 55905, United States","Mayo Clinic, Rochester, Minnesota, 55905, United States",Mayo Clinic,Rochester,United States
NCT05241340,Neoadjuvant Sasanlimab With Radiation as an in Situ Vaccine for Cisplatin-ineligible Muscle Invasive Bladder Cancer,PHASE2,RECRUITING,33.0,2022-02-15,2025-08-01,The Methodist Hospital Research Institute,Pfizer,Urothelial Carcinoma Bladder,DRUG: Sasanlimab|RADIATION: Stereotactic Body Radiation Therapy|PROCEDURE: Radical Cystectomy + pelvic lymph node dissection + urinary diversion,"Houston Methodist Hospital, Houston, Texas, 77006, United States","Houston Methodist Hospital, Houston, Texas, 77006, United States",Houston Methodist Hospital,Houston,United States
NCT01824329,Prostate Capsule Sparing Cystectomy and Nerve-sparing Radical Cystoprostatectomy in Men With Bladder Cancer,PHASE2,COMPLETED,40.0,2006-06,2014-08,University of Michigan,,Bladder Cancer|Transitional Cell Carcinoma of the Bladder,PROCEDURE: Prostate capsule sparing cystectomy|PROCEDURE: Nerve sparing cystectomy,"University of Michigan, Ann Arbor, Michigan, 48109, United States","University of Michigan, Ann Arbor, Michigan, 48109, United States",University of Michigan,Ann Arbor,United States
NCT06586255,Adjuvant Concurrent Immunotherapy and Radiotherapy for the Treatment of Bladder Cancer,PHASE1,RECRUITING,10.0,2025-04-29,2027-04,Abramson Cancer Center at Penn Medicine,,Urothelial Carcinoma Bladder|Bladder Cancer,RADIATION: Concurrent Immunotherapy and Radiation Therapy,"University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States","University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",University of Pennsylvania,Philadelphia,United States
NCT03039413,Copper Cu-64 TP3805 PET/CT in Imaging Patients With Urothelial Cancer Undergoing Surgery or Biopsy,EARLY_PHASE1,COMPLETED,20.0,2016-09-28,2019-05-21,Sidney Kimmel Cancer Center at Thomas Jefferson University,,Bladder Urothelial Carcinoma|Urothelial Carcinoma,DRUG: Copper Cu 64 TP3805|PROCEDURE: Positron Emission Tomography|PROCEDURE: Computed Tomography,"Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States","Sidney Kimmel Cancer Center at Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States",Sidney Kimmel Cancer Center at Thomas Jefferson University,Philadelphia,United States
NCT01215136,First-line Everolimus +/- Paclitaxel for Cisplatin-ineligible Patients With Advanced Urothelial Carcinoma,PHASE2,TERMINATED,36.0,2010-12,2017-04-24,Matthew Galsky,Hoosier Cancer Research Network|Novartis Pharmaceuticals,Transitional Cell Carcinoma|Bladder Carcinoma|Urothelial Carcinoma,DRUG: Everolimus|DRUG: Everolimus|DRUG: Paclitaxel,"University of Alabama Hematology Oncology Clinic at Medical West, Birmingham, Alabama, 35294, United States|Northwestern University, Robert H. Lurie Comprehensive Cancer Center, Chicago, Illinois, 60611, United States|Cancer Care Center of Southern Indiana, Bloomington, Indiana, 47403, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|IU Health Central Indiana Cancer Centers, Indianapolis, Indiana, 46219, United States|Metro Health Cancer Care, Wyoming, Michigan, 49519, United States|Nebraska Cancer Specialists, Omaha, Nebraska, 68114, United States|Icahn School of Medicine: Tisch Cancer Institute at Mount Sinai Medical Center, New York, New York, 10029, United States|MUSC Hollings Cancer Center, Charleston, South Carolina, 29425, United States|University of Texas Medical Branch, Galveston, Texas, 77555, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States","University of Alabama Hematology Oncology Clinic at Medical West, Birmingham, Alabama, 35294, United States|Northwestern University, Robert H. Lurie Comprehensive Cancer Center, Chicago, Illinois, 60611, United States|Cancer Care Center of Southern Indiana, Bloomington, Indiana, 47403, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|IU Health Central Indiana Cancer Centers, Indianapolis, Indiana, 46219, United States|Metro Health Cancer Care, Wyoming, Michigan, 49519, United States|Nebraska Cancer Specialists, Omaha, Nebraska, 68114, United States|Icahn School of Medicine: Tisch Cancer Institute at Mount Sinai Medical Center, New York, New York, 10029, United States|MUSC Hollings Cancer Center, Charleston, South Carolina, 29425, United States|University of Texas Medical Branch, Galveston, Texas, 77555, United States|Virginia Oncology Associates, Norfolk, Virginia, 23502, United States",University of Alabama Hematology Oncology Clinic at Medical West,Birmingham,United States
NCT00734994,Mitomycin C With Hyperthermia and Intravesical Mitomycin C to Treat Recurrent Bladder Cancer,EARLY_PHASE1,COMPLETED,15.0,2008-04,2011-02,Mark Dewhirst,,Transitional Cell Carcinoma of Bladder|Superficial Bladder Cancer,DEVICE: Hyperthermia System|DRUG: Mitomycin C,"Duke University Medical Center, Durham, North Carolina, 27710, United States","Duke University Medical Center, Durham, North Carolina, 27710, United States",Duke University Medical Center,Durham,United States
NCT04386746,Intravesical Gemcitabine and Docetaxel for BCG naïve Non-muscle Invasive Bladder Cancer,PHASE2,ACTIVE_NOT_RECRUITING,27.0,2020-07-29,2022-10-04,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,Urothelial Carcinoma Bladder|Bladder Cancer,DRUG: Gemcitabine|DRUG: Docetaxel,"Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21287, United States","Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21287, United States",Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center,Baltimore,United States
NCT03317158,"Modern Immunotherapy in BCG-Unresponsive, BCG-Relapsing and High Risk BCG-Naive Non-Muscle Invasive Urothelial Carcinoma of the Bladder",PHASE1|PHASE2,RECRUITING,55.0,2017-11-21,2025-12-31,"Noah Hahn, M.D.",AstraZeneca|Hoosier Cancer Research Network,Urothelial Carcinoma|Bladder Cancer,DRUG: Durvalumab (Cohort 1-3)|RADIATION: External Beam Radiotherapy (EBRT)|BIOLOGICAL: Bacillus Calmette-Guérin (BCG)|DRUG: Gemcitabine|DRUG: Docetaxel|BIOLOGICAL: Tremelimumab|DRUG: Durvalumab (Cohort 4/5)|OTHER: To be determined,"BCG Oncology, Phoenix, Arizona, 85032, United States|Stanford University, Stanford, California, 94305, United States|Rush University Medical Cneter, Chicago, Illinois, 60612, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, 52242, United States|Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21231, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Columbia University Irving Medical Center, New York, New York, 10032, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, 27599, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States","BCG Oncology, Phoenix, Arizona, 85032, United States|Stanford University, Stanford, California, 94305, United States|Rush University Medical Cneter, Chicago, Illinois, 60612, United States|Indiana University Melvin and Bren Simon Cancer Center, Indianapolis, Indiana, 46202, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, 52242, United States|Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21231, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Columbia University Irving Medical Center, New York, New York, 10032, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, 27599, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, 19111, United States",BCG Oncology,Phoenix,United States
NCT05137262,A Phase II Multicenter Study of Chemotherapy Versus Chemotherapy Plus Durvalumab (MEDI 4736) in Patients With Lymph Node Positive Urothelial Carcinoma of the Bladder,PHASE2,RECRUITING,60.0,2021-10-13,2026-08-31,M.D. Anderson Cancer Center,AstraZeneca,Urothelial Carcinoma|Bladder Cancer,OTHER: Abiraterone acetate|DRUG: Durvalumab|DRUG: Methotrexate|DRUG: Vinblastine|DRUG: Doxorubicin Hydrochloride|DRUG: Cisplatin,"M D Anderson Cancer Center, Houston, Texas, 77030, United States","M D Anderson Cancer Center, Houston, Texas, 77030, United States",M D Anderson Cancer Center,Houston,United States
NCT04018053,18Fluorine-Fluciclovine PET/CT for Staging Muscle Invasive Bladder Cancer Preceding Radical Cystectomy,EARLY_PHASE1,ACTIVE_NOT_RECRUITING,16.0,2020-02-26,2024-06-30,Brigham and Women's Hospital,Blue Earth Diagnostics,Bladder Cancer|Urothelial Carcinoma,DRUG: 18F-fluciclovine|DEVICE: PET/CT,"Dana Farber Cancer Institute, Boston, Massachusetts, 02115, United States","Dana Farber Cancer Institute, Boston, Massachusetts, 02115, United States",Dana Farber Cancer Institute,Boston,United States
NCT02845323,Neoadjuvant Nivolumab With and Without Urelumab in Cisplatin-Ineligible or Chemotherapy-refusing Patients With Muscle-Invasive Urothelial Carcinoma of the Bladder,PHASE2,ACTIVE_NOT_RECRUITING,15.0,2017-05-16,2025-07-31,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Bristol-Myers Squibb,Urothelial Carcinoma|Bladder Cancer,DRUG: Nivolumab in combination with Urelumab|DRUG: Nivolumab monotherapy,"UCLA Institute of Urologic Oncology, Los Angeles, California, 90095, United States|University of Colorado Cancer Center, Aurora, Colorado, 80045, United States|University of Chicago, Chicago, Illinois, 60637, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21205, United States|Columbia University Medical Center, New York, New York, 10032, United States","UCLA Institute of Urologic Oncology, Los Angeles, California, 90095, United States|University of Colorado Cancer Center, Aurora, Colorado, 80045, United States|University of Chicago, Chicago, Illinois, 60637, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21205, United States|Columbia University Medical Center, New York, New York, 10032, United States",UCLA Institute of Urologic Oncology,Los Angeles,United States
NCT02788201,Genomic Based Assignment of Therapy in Advanced Urothelial Carcinoma,PHASE2,COMPLETED,8.0,2017-03-27,2019-10-23,National Cancer Institute (NCI),,Urothelial Carcinoma|Bladder Cancer|Urinary Bladder Neoplasms,DRUG: 75 approved agents|OTHER: COXEN,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States","National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States",National Institutes of Health Clinical Center,Bethesda,United States
NCT06184516,Assessment of Decision Tool to Select Women for Gynecologic Sparing Radical Cystectomy,PHASE2,RECRUITING,147.0,2024-08-30,2027-03,University of Florida,,Urothelial Carcinoma Bladder,PROCEDURE: Reproductive organ sparing radical cystectomy|PROCEDURE: Radical cystectomy,"University of Florida, Gainesville, Florida, 32608, United States","University of Florida, Gainesville, Florida, 32608, United States",University of Florida,Gainesville,United States
NCT05656235,Renal Retention in High Grade Upper Tract Urothelial Cancer,PHASE2,RECRUITING,20.0,2024-11-25,2028-06,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Astellas Pharma Inc|Seagen Inc.|Merck Sharp & Dohme LLC,High Grade Urothelial Carcinoma|Bladder Cancer|Urothelial Carcinoma Bladder,DRUG: Enfortumab vedotin|DRUG: Pembrolizumab,"Johns Hopkins University: Sibley Memorial Hospital, Washington, District of Columbia, 20016, United States|Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21287, United States","Johns Hopkins University: Sibley Memorial Hospital, Washington, District of Columbia, 20016, United States|Johns Hopkins University: Sidney Kimmel Comprehensive Cancer Center, Baltimore, Maryland, 21287, United States",Johns Hopkins University: Sibley Memorial Hospital,Washington,United States
NCT01264744,Detection of Chromosomal Aberrations in Urine Samples Using Fluorescent in Situ Hybridization (FISH) (UroVysion Test),,COMPLETED,174.0,2009-11,2010-08,Applied Spectral Imaging Ltd.,,Bladder Cancers,,"VA Hospital, Los Angeles, California, 90073, United States|PLUS Diagnostics, Union, New Jersey, 07083, United States|Sheila Dobin, Ph.D., Temple, Texas, 76508, United States","VA Hospital, Los Angeles, California, 90073, United States|PLUS Diagnostics, Union, New Jersey, 07083, United States|Sheila Dobin, Ph.D., Temple, Texas, 76508, United States",VA Hospital,Los Angeles,United States
NCT01688999,Cabozantinib for Advanced Urothelial Cancer,PHASE2,COMPLETED,69.0,2012-09-11,2017-12-11,National Cancer Institute (NCI),,Urothelial Carcinoma|Urethral Neoplasms|Urinary Bladder Neoplasms|Kidney Neoplasms,DRUG: Cabozantinib,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",National Institutes of Health Clinical Center,9000 Rockville Pike,United States
NCT06493552,Modular Trial of sEphB4-HSA in EphrinB2-High Solid Tumors,PHASE2|PHASE3,RECRUITING,700.0,2025-03-15,2029-09,"Vasgene Therapeutics, Inc",,Muscle-Invasive Bladder Carcinoma|Metastatic Urothelial Carcinoma,DRUG: SEphB4-HSA|DRUG: Pembrolizumab|DRUG: Gemcitabine|DRUG: Cisplatin|DRUG: Enfortumab vedotin,"Sarcoma Oncology Center, Santa Monica, California, 90403, United States","Sarcoma Oncology Center, Santa Monica, California, 90403, United States",Sarcoma Oncology Center,Santa Monica,United States
NCT05239624,Enfortumab Vedotin and Pembrolizumab in People with Bladder Cancer,PHASE2,RECRUITING,23.0,2022-06-02,2026-06,Memorial Sloan Kettering Cancer Center,"Astellas Pharma US, Inc.|Seagen Inc.|Merck Sharp & Dohme LLC",Urothelial Carcinoma,DRUG: Enfortumab vedotin|DRUG: Pembrolizumab,"Baptist Alliance MCI, Miami, Florida, 33143, United States|Memorial Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering -Nassau, Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester, Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau, Rockville Centre, New York, 11553, United States|Lehigh Valley Health Network (Data Collection Only), Allentown, Pennsylvania, 18103, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, 75390, United States","Baptist Alliance MCI, Miami, Florida, 33143, United States|Memorial Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering -Nassau, Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester, Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau, Rockville Centre, New York, 11553, United States|Lehigh Valley Health Network (Data Collection Only), Allentown, Pennsylvania, 18103, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, 75390, United States",Baptist Alliance MCI,Miami,United States
